date,value
2014-01-02,4.2050
2014-01-03,4.2350
2014-01-06,4.2775
2014-01-07,4.2600
2014-01-08,4.1700
2014-01-09,4.1200
2014-01-10,4.3275
2014-01-13,4.3450
2014-01-14,4.3150
2014-01-15,4.2575
2014-01-16,4.2800
2014-01-17,4.2400
2014-01-21,4.2500
2014-01-22,4.2625
2014-01-23,4.2900
2014-01-24,4.2950
2014-01-27,4.3175
2014-01-28,4.3200
2014-01-29,4.2750
2014-01-30,4.3350
2014-01-31,4.3400
2014-02-03,4.3575
2014-02-04,4.4175
2014-02-05,4.4325
2014-02-06,4.4300
2014-02-07,4.4425
2014-02-10,4.4300
2014-02-11,4.4150
2014-02-12,4.4000
2014-02-13,4.4050
2014-02-14,4.4525
2014-02-18,4.4950
2014-02-19,4.5375
2014-02-20,4.5575
2014-02-21,4.5300
2014-02-24,4.5150
2014-02-25,4.5685
2014-02-26,4.5770
2014-02-27,4.5190
2014-02-28,4.6230
2014-03-03,4.7050
2014-03-04,4.8425
2014-03-05,4.8200
2014-03-06,4.9100
2014-03-07,4.8900
2014-03-10,4.7825
2014-03-11,4.8325
2014-03-12,4.8850
2014-03-13,4.8500
2014-03-14,4.8600
2014-03-17,4.7900
2014-03-18,4.8625
2014-03-19,4.8775
2014-03-20,4.7850
2014-03-21,4.7900
2014-03-24,4.9000
2014-03-25,4.8650
2014-03-26,4.8450
2014-03-27,4.9200
2014-03-28,4.9200
2014-03-31,5.0200
2014-04-01,5.0750
2014-04-02,4.9575
2014-04-03,5.0000
2014-04-04,5.0175
2014-04-07,4.9925
2014-04-08,5.0700
2014-04-09,5.0225
2014-04-10,5.0125
2014-04-11,4.9850
2014-04-14,5.0300
2014-04-15,5.0375
2014-04-16,4.9750
2014-04-17,4.9475
2014-04-21,4.8850
2014-04-22,4.9625
2014-04-23,5.0350
2014-04-24,5.0125
2014-04-25,5.0815
2014-04-28,5.1015
2014-04-29,5.1920
2014-04-30,5.1800
2014-05-01,5.0700
2014-05-02,4.9950
2014-05-05,5.0800
2014-05-06,5.1750
2014-05-07,5.1400
2014-05-08,5.1650
2014-05-09,5.0750
2014-05-12,4.9950
2014-05-13,5.0275
2014-05-14,4.9550
2014-05-15,4.8425
2014-05-16,4.8350
2014-05-19,4.7725
2014-05-20,4.7350
2014-05-21,4.7450
2014-05-22,4.7675
2014-05-23,4.7800
2014-05-27,4.6975
2014-05-28,4.7250
2014-05-29,4.6950
2014-05-30,4.6575
2014-06-02,4.6550
2014-06-03,4.5825
2014-06-04,4.5625
2014-06-05,4.4900
2014-06-06,4.5900
2014-06-09,4.5100
2014-06-10,4.4550
2014-06-11,4.4100
2014-06-12,4.4400
2014-06-13,4.4700
2014-06-16,4.4100
2014-06-17,4.3875
2014-06-18,4.4150
2014-06-19,4.5050
2014-06-20,4.5325
2014-06-23,4.4450
2014-06-24,4.4300
2014-06-25,4.3995
2014-06-26,4.4125
2014-06-27,4.4255
2014-06-30,4.1985
2014-07-01,4.1600
2014-07-02,4.1225
2014-07-03,4.0950
2014-07-07,4.0050
2014-07-08,3.9825
2014-07-09,3.9125
2014-07-10,3.8625
2014-07-11,3.7825
2014-07-14,3.8150
2014-07-15,3.7400
2014-07-16,3.7825
2014-07-17,3.7950
2014-07-18,3.7125
2014-07-21,3.6400
2014-07-22,3.6025
2014-07-23,3.6250
2014-07-24,3.6150
2014-07-25,3.6300
2014-07-28,3.6775
2014-07-29,3.6150
2014-07-30,3.6175
2014-07-31,3.5700
2014-08-01,3.5250
2014-08-04,3.5875
2014-08-05,3.5625
2014-08-06,3.6325
2014-08-07,3.5950
2014-08-08,3.5175
2014-08-11,3.5675
2014-08-12,3.5850
2014-08-13,3.5800
2014-08-14,3.6200
2014-08-15,3.6575
2014-08-18,3.6075
2014-08-19,3.6250
2014-08-20,3.5950
2014-08-21,3.6225
2014-08-22,3.6550
2014-08-25,3.6000
2014-08-26,3.5780
2014-08-27,3.5960
2014-08-28,3.6625
2014-08-29,3.6360
2014-09-02,3.6375
2014-09-03,3.5200
2014-09-04,3.4650
2014-09-05,3.5600
2014-09-08,3.4825
2014-09-09,3.4425
2014-09-10,3.4575
2014-09-11,3.4100
2014-09-12,3.3850
2014-09-15,3.4300
2014-09-16,3.4375
2014-09-17,3.4175
2014-09-18,3.3825
2014-09-19,3.3150
2014-09-22,3.3025
2014-09-23,3.2550
2014-09-24,3.2950
2014-09-25,3.2600
2014-09-26,3.2300
2014-09-29,3.2575
2014-09-30,3.2075
2014-10-01,3.2125
2014-10-02,3.2275
2014-10-03,3.2325
2014-10-06,3.3250
2014-10-07,3.4050
2014-10-08,3.4325
2014-10-09,3.4475
2014-10-10,3.3400
2014-10-13,3.4600
2014-10-14,3.5700
2014-10-15,3.4750
2014-10-16,3.5225
2014-10-17,3.4800
2014-10-20,3.4825
2014-10-21,3.5600
2014-10-22,3.5300
2014-10-23,3.5975
2014-10-24,3.5300
2014-10-27,3.6300
2014-10-28,3.6450
2014-10-29,3.7525
2014-10-30,3.7400
2014-10-31,3.7675
2014-11-03,3.7350
2014-11-04,3.6450
2014-11-05,3.7025
2014-11-06,3.7125
2014-11-07,3.6750
2014-11-10,3.6925
2014-11-11,3.7375
2014-11-12,3.7775
2014-11-13,3.8625
2014-11-14,3.8175
2014-11-17,3.7750
2014-11-18,3.7200
2014-11-19,3.6325
2014-11-20,3.7325
2014-11-21,3.7275
2014-11-24,3.7005
2014-11-25,3.7945
2014-11-26,3.8620
2014-11-28,3.8615
2014-12-01,3.8975
2014-12-02,3.8125
2014-12-03,3.8200
2014-12-04,3.8975
2014-12-05,3.9500
2014-12-08,3.9025
2014-12-09,3.9525
2014-12-10,3.9375
2014-12-11,3.9850
2014-12-12,4.0750
2014-12-15,4.0850
2014-12-16,4.0600
2014-12-17,4.0825
2014-12-18,4.1100
2014-12-19,4.1050
2014-12-22,4.1175
2014-12-23,4.1400
2014-12-24,4.0775
2014-12-26,4.1475
2014-12-29,4.1275
2014-12-30,4.0650
2014-12-31,3.9700
2015-01-02,3.9575
2015-01-05,4.0600
2015-01-06,4.0500
2015-01-07,3.9625
2015-01-08,3.9425
2015-01-09,4.0025
2015-01-12,4.0200
2015-01-13,3.8575
2015-01-14,3.8100
2015-01-15,3.8000
2015-01-16,3.8700
2015-01-20,3.9025
2015-01-21,3.8800
2015-01-22,3.8375
2015-01-23,3.8675
2015-01-26,3.8400
2015-01-27,3.8125
2015-01-28,3.7325
2015-01-29,3.7150
2015-01-30,3.7000
2015-02-02,3.6975
2015-02-03,3.8575
2015-02-04,3.8350
2015-02-05,3.8525
2015-02-06,3.8575
2015-02-09,3.9125
2015-02-10,3.8800
2015-02-11,3.8575
2015-02-12,3.8300
2015-02-13,3.8725
2015-02-17,3.8950
2015-02-18,3.8375
2015-02-19,3.8975
2015-02-20,3.8525
2015-02-23,3.7875
2015-02-24,3.7910
2015-02-25,3.7895
2015-02-26,3.8510
2015-02-27,3.9150
2015-03-02,3.8800
2015-03-03,3.9100
2015-03-04,3.8950
2015-03-05,3.9050
2015-03-06,3.8600
2015-03-09,3.8875
2015-03-10,3.8800
2015-03-11,3.9100
2015-03-12,3.8850
2015-03-13,3.8050
2015-03-16,3.7900
2015-03-17,3.7100
2015-03-18,3.7475
2015-03-19,3.7350
2015-03-20,3.8500
2015-03-23,3.9025
2015-03-24,3.9325
2015-03-25,3.9500
2015-03-26,3.9125
2015-03-27,3.9100
2015-03-30,3.9450
2015-03-31,3.7625
2015-04-01,3.8175
2015-04-02,3.8650
2015-04-06,3.8500
2015-04-07,3.8300
2015-04-08,3.7925
2015-04-09,3.7800
2015-04-10,3.7700
2015-04-13,3.7050
2015-04-14,3.7350
2015-04-15,3.7600
2015-04-16,3.7625
2015-04-17,3.7975
2015-04-20,3.7800
2015-04-21,3.7300
2015-04-22,3.7250
2015-04-23,3.7075
2015-04-24,3.6450
2015-04-27,3.6155
2015-04-28,3.6240
2015-04-29,3.6615
2015-04-30,3.6550
2015-05-01,3.6300
2015-05-04,3.6125
2015-05-05,3.6275
2015-05-06,3.6675
2015-05-07,3.6150
2015-05-08,3.6300
2015-05-11,3.6050
2015-05-12,3.6100
2015-05-13,3.6225
2015-05-14,3.6800
2015-05-15,3.6550
2015-05-18,3.6800
2015-05-19,3.6200
2015-05-20,3.6000
2015-05-21,3.6500
2015-05-22,3.6000
2015-05-26,3.5500
2015-05-27,3.4950
2015-05-28,3.5350
2015-05-29,3.5150
2015-06-01,3.5225
2015-06-02,3.5900
2015-06-03,3.5900
2015-06-04,3.6350
2015-06-05,3.6050
2015-06-08,3.6525
2015-06-09,3.6500
2015-06-10,3.5725
2015-06-11,3.5650
2015-06-12,3.5300
2015-06-15,3.4825
2015-06-16,3.5400
2015-06-17,3.5925
2015-06-18,3.5800
2015-06-19,3.5325
2015-06-22,3.6000
2015-06-23,3.6750
2015-06-24,3.6650
2015-06-25,3.7775
2015-06-26,3.8800
2015-06-29,3.8850
2015-06-30,4.2040
2015-07-01,4.2250
2015-07-02,4.2850
2015-07-06,4.2650
2015-07-07,4.2325
2015-07-08,4.2450
2015-07-09,4.2875
2015-07-10,4.3475
2015-07-13,4.4075
2015-07-14,4.2825
2015-07-15,4.2950
2015-07-16,4.3000
2015-07-17,4.2025
2015-07-20,4.0500
2015-07-21,4.0650
2015-07-22,4.0275
2015-07-23,4.0325
2015-07-24,3.9250
2015-07-27,3.7300
2015-07-28,3.7500
2015-07-29,3.6775
2015-07-30,3.7325
2015-07-31,3.7100
2015-08-03,3.6650
2015-08-04,3.6875
2015-08-05,3.7275
2015-08-06,3.6975
2015-08-07,3.7275
2015-08-10,3.9025
2015-08-11,3.7650
2015-08-12,3.5725
2015-08-13,3.6375
2015-08-14,3.6400
2015-08-17,3.6325
2015-08-18,3.6625
2015-08-19,3.6725
2015-08-20,3.7100
2015-08-21,3.6525
2015-08-24,3.6875
2015-08-25,3.6550
2015-08-26,3.6405
2015-08-27,3.6825
2015-08-28,3.7030
2015-08-31,3.7295
2015-09-01,3.6900
2015-09-02,3.6750
2015-09-03,3.6150
2015-09-04,3.6300
2015-09-08,3.6825
2015-09-09,3.6900
2015-09-10,3.7425
2015-09-11,3.8700
2015-09-14,3.9350
2015-09-15,3.9050
2015-09-16,3.8600
2015-09-17,3.7975
2015-09-18,3.7725
2015-09-21,3.8450
2015-09-22,3.8050
2015-09-23,3.8325
2015-09-24,3.8150
2015-09-25,3.8900
2015-09-28,3.8675
2015-09-29,3.8900
2015-09-30,3.8775
2015-10-01,3.8875
2015-10-02,3.8925
2015-10-05,3.9350
2015-10-06,3.9825
2015-10-07,3.9575
2015-10-08,3.9125
2015-10-09,3.8275
2015-10-12,3.8075
2015-10-13,3.8450
2015-10-14,3.7900
2015-10-15,3.7550
2015-10-16,3.7675
2015-10-19,3.7300
2015-10-20,3.7675
2015-10-21,3.8075
2015-10-22,3.7825
2015-10-23,3.7975
2015-10-26,3.8450
2015-10-27,3.8000
2015-10-28,3.7600
2015-10-29,3.8000
2015-10-30,3.8225
2015-11-02,3.7650
2015-11-03,3.8050
2015-11-04,3.8050
2015-11-05,3.7450
2015-11-06,3.7300
2015-11-09,3.6675
2015-11-10,3.5900
2015-11-11,3.6225
2015-11-12,3.6200
2015-11-13,3.5825
2015-11-16,3.6000
2015-11-17,3.6200
2015-11-18,3.6175
2015-11-19,3.6425
2015-11-20,3.6325
2015-11-23,3.6725
2015-11-24,3.6530
2015-11-25,3.6870
2015-11-27,3.6405
2015-11-30,3.7080
2015-12-01,3.7375
2015-12-02,3.7025
2015-12-03,3.7700
2015-12-04,3.8150
2015-12-07,3.7300
2015-12-08,3.7350
2015-12-09,3.7375
2015-12-10,3.7925
2015-12-11,3.7525
2015-12-14,3.7900
2015-12-15,3.7725
2015-12-16,3.6975
2015-12-17,3.7425
2015-12-18,3.7450
2015-12-21,3.7200
2015-12-22,3.6625
2015-12-23,3.6550
2015-12-24,3.6450
2015-12-28,3.6100
2015-12-29,3.6250
2015-12-30,3.5900
2015-12-31,3.5875
2016-01-04,3.5150
2016-01-05,3.5300
2016-01-06,3.5325
2016-01-07,3.5300
2016-01-08,3.5700
2016-01-11,3.5175
2016-01-12,3.5675
2016-01-13,3.5800
2016-01-14,3.5800
2016-01-15,3.6325
2016-01-19,3.6775
2016-01-20,3.6875
2016-01-21,3.6700
2016-01-22,3.7025
2016-01-25,3.6975
2016-01-26,3.6925
2016-01-27,3.6925
2016-01-28,3.6550
2016-01-29,3.7200
2016-02-01,3.7125
2016-02-02,3.7250
2016-02-03,3.7100
2016-02-04,3.6850
2016-02-05,3.6575
2016-02-08,3.6225
2016-02-09,3.6100
2016-02-10,3.6025
2016-02-11,3.6025
2016-02-12,3.5875
2016-02-16,3.6300
2016-02-17,3.6725
2016-02-18,3.6550
2016-02-19,3.6550
2016-02-22,3.6750
2016-02-23,3.6200
2016-02-24,3.6070
2016-02-25,3.5750
2016-02-26,3.5750
2016-02-29,3.5630
2016-03-01,3.5575
2016-03-02,3.5625
2016-03-03,3.5650
2016-03-04,3.5825
2016-03-07,3.5900
2016-03-08,3.6050
2016-03-09,3.5950
2016-03-10,3.6275
2016-03-11,3.6500
2016-03-14,3.6875
2016-03-15,3.6850
2016-03-16,3.6825
2016-03-17,3.6850
2016-03-18,3.6700
2016-03-21,3.6950
2016-03-22,3.7000
2016-03-23,3.6850
2016-03-24,3.7000
2016-03-28,3.7050
2016-03-29,3.7300
2016-03-30,3.6700
2016-03-31,3.5150
2016-04-01,3.5400
2016-04-04,3.5450
2016-04-05,3.5675
2016-04-06,3.5800
2016-04-07,3.6150
2016-04-08,3.6225
2016-04-11,3.5675
2016-04-12,3.6275
2016-04-13,3.7350
2016-04-14,3.7400
2016-04-15,3.7850
2016-04-18,3.8100
2016-04-19,3.8450
2016-04-20,3.9475
2016-04-21,3.8450
2016-04-22,3.7175
2016-04-25,3.7700
2016-04-26,3.8325
2016-04-27,3.8235
