date,value
2014-01-02,12.7000
2014-01-03,12.7125
2014-01-06,12.7675
2014-01-07,12.7600
2014-01-08,12.6925
2014-01-09,12.7375
2014-01-10,12.7850
2014-01-13,12.9425
2014-01-14,13.0700
2014-01-15,13.1800
2014-01-16,13.1500
2014-01-17,13.1650
2014-01-21,12.8050
2014-01-22,12.7950
2014-01-23,12.7700
2014-01-24,12.8475
2014-01-27,12.8775
2014-01-28,12.8550
2014-01-29,12.6925
2014-01-30,12.7500
2014-01-31,12.8275
2014-02-03,12.9275
2014-02-04,13.1325
2014-02-05,13.1625
2014-02-06,13.2575
2014-02-07,13.3150
2014-02-10,13.2550
2014-02-11,13.3475
2014-02-12,13.2300
2014-02-13,13.4425
2014-02-14,13.3750
2014-02-18,13.6100
2014-02-19,13.5425
2014-02-20,13.5825
2014-02-21,13.7075
2014-02-24,13.8650
2014-02-25,13.9665
2014-02-26,14.0315
2014-02-27,13.9140
2014-02-28,14.1405
2014-03-03,14.0925
2014-03-04,14.2300
2014-03-05,14.2050
2014-03-06,14.3800
2014-03-07,14.5775
2014-03-10,14.1875
2014-03-11,14.1300
2014-03-12,13.8700
2014-03-13,13.9625
2014-03-14,13.8850
2014-03-17,13.9175
2014-03-18,14.1825
2014-03-19,14.3125
2014-03-20,14.3375
2014-03-21,14.0875
2014-03-24,14.2550
2014-03-25,14.2800
2014-03-26,14.4000
2014-03-27,14.3650
2014-03-28,14.3650
2014-03-31,14.6400
2014-04-01,14.8400
2014-04-02,14.6250
2014-04-03,14.7550
2014-04-04,14.7350
2014-04-07,14.6450
2014-04-08,14.8200
2014-04-09,14.9550
2014-04-10,14.8250
2014-04-11,14.6300
2014-04-14,14.7650
2014-04-15,15.0150
2014-04-16,15.1850
2014-04-17,15.1400
2014-04-21,14.9850
2014-04-22,14.7950
2014-04-23,14.6800
2014-04-24,14.7200
2014-04-25,14.9730
2014-04-28,15.0510
2014-04-29,15.2010
2014-04-30,15.1635
2014-05-01,14.6100
2014-05-02,14.7075
2014-05-05,14.6325
2014-05-06,14.5950
2014-05-07,14.4625
2014-05-08,14.6950
2014-05-09,14.8700
2014-05-12,14.6525
2014-05-13,14.8375
2014-05-14,14.8675
2014-05-15,14.7025
2014-05-16,14.6500
2014-05-19,14.8525
2014-05-20,14.6975
2014-05-21,15.0525
2014-05-22,15.1875
2014-05-23,15.1550
2014-05-27,14.8875
2014-05-28,14.9775
2014-05-29,14.9900
2014-05-30,14.9325
2014-06-02,15.0050
2014-06-03,14.8125
2014-06-04,14.8250
2014-06-05,14.6050
2014-06-06,14.5700
2014-06-09,14.5700
2014-06-10,14.6250
2014-06-11,14.4550
2014-06-12,14.1525
2014-06-13,14.2575
2014-06-16,14.2175
2014-06-17,13.9825
2014-06-18,14.0900
2014-06-19,14.2075
2014-06-20,14.1575
2014-06-23,14.2475
2014-06-24,14.1350
2014-06-25,14.0495
2014-06-26,14.1490
2014-06-27,13.9960
2014-06-30,13.4390
2014-07-01,13.2775
2014-07-02,13.1475
2014-07-03,12.9975
2014-07-07,12.7325
2014-07-08,12.4850
2014-07-09,12.4650
2014-07-10,12.3275
2014-07-11,11.9575
2014-07-14,11.9700
2014-07-15,11.8050
2014-07-16,11.8725
2014-07-17,11.7475
2014-07-18,11.7675
2014-07-21,11.7575
2014-07-22,11.8400
2014-07-23,12.0100
2014-07-24,12.0750
2014-07-25,12.1225
2014-07-28,12.1660
2014-07-29,11.8450
2014-07-30,11.4955
2014-07-31,11.2470
2014-08-01,10.7350
2014-08-04,10.9525
2014-08-05,10.8150
2014-08-06,10.9650
2014-08-07,10.9925
2014-08-08,11.1375
2014-08-11,11.0850
2014-08-12,10.9425
2014-08-13,10.7950
2014-08-14,10.9825
2014-08-15,11.0250
2014-08-18,11.1550
2014-08-19,11.2025
2014-08-20,11.1975
2014-08-21,11.3625
2014-08-22,11.6600
2014-08-25,11.2575
2014-08-26,10.6600
2014-08-27,10.6095
2014-08-28,10.4675
2014-08-29,10.3730
2014-09-02,10.3200
2014-09-03,10.2000
2014-09-04,10.0350
2014-09-05,10.2150
2014-09-08,10.0850
2014-09-09,9.9275
2014-09-10,9.9375
2014-09-11,9.8150
2014-09-12,9.8525
2014-09-15,9.8950
2014-09-16,9.8075
2014-09-17,9.8250
2014-09-18,9.7150
2014-09-19,9.5700
2014-09-22,9.3825
2014-09-23,9.3625
2014-09-24,9.3675
2014-09-25,9.2275
2014-09-26,9.1025
2014-09-29,9.2350
2014-09-30,9.1325
2014-10-01,9.1675
2014-10-02,9.2450
2014-10-03,9.1225
2014-10-06,9.4225
2014-10-07,9.4075
2014-10-08,9.3500
2014-10-09,9.4200
2014-10-10,9.2250
2014-10-13,9.4525
2014-10-14,9.6475
2014-10-15,9.5250
2014-10-16,9.6600
2014-10-17,9.5175
2014-10-20,9.4425
2014-10-21,9.6425
2014-10-22,9.6275
2014-10-23,9.9325
2014-10-24,9.7750
2014-10-27,10.0600
2014-10-28,10.0940
2014-10-29,10.4540
2014-10-30,10.2755
2014-10-31,10.4870
2014-11-03,10.2975
2014-11-04,10.0975
2014-11-05,10.1925
2014-11-06,10.2800
2014-11-07,10.3675
2014-11-10,10.2575
2014-11-11,10.6400
2014-11-12,10.4775
2014-11-13,10.5350
